id , name,type,ordering_attribute,ordering_type
1709,The Poison Club Compilation,1,788,1
1711,Supalova Club,1,788,1
1713,The Greatest Video Game Music,1,788,1
1712,DJ Doboy: Vocal Edition,1,788,1
1714,BIRP!,1,788,2
1715,ALICE VOCAL COLLECTION,1,788,1
1717,Les œuvres de Marc-Antoine Charpentier: Catalogue Raisonné,4,788,1
1718,Decca Legends,2,788,1
1662,Richard Blade’s Flashback Favorites,1,788,1
1719,Double Decca,2,788,1
1649,Why Pink Floyd?,2,788,1
1720,Das wohltemperierte Klavier,1,788,1
1721,Basement Series,3,788,1
1760,Found in the Attic,1,788,1
1722,Moonshiners,3,788,1
1745,This Is Mod,1,788,1
1723,DG Concerts,2,788,1
1724,forte,2,788,1
1725,Atmospheric Drum & Bass,1,788,1
1746,Kingz of the Rollers EP,1,788,1
1726,Les Voix en or,1,788,1
1727,New Wave Club Class-X,1,788,1
1728,The Ultimate Christmas Album,1,788,1
1747,Motown Hits of Gold,1,788,1
1729,Punk Rock Is Your Friend,1,788,1
1730,Best of Hungary: Bravissimo,1,788,1
1761,50 Glorious Classical Years,1,788,1
1731,Music for Modern Living,1,788,1
1748,The Complete Sun Singles,1,788,1
1732,The Sound of Funk,1,788,1
1733,AMP Magazine Presents,1,788,1
1734,Gilles Peterson Jazz Juice,1,788,1
1749,Rock and Roll Club,1,788,1
1735,Gemini,2,788,1
1736,Kathleen Ferrier,1,788,1
1770,KWJZ 98.9: Smooth Jazz,1,788,1
1737,Moos Sessions,3,788,1
1750,Louisville Is for Lovers,1,788,1
1738,13 Japanese Birds,1,788,1
1739,Music for the 90s,1,788,1
1762,Oldies: Memory of 50's,1,788,1
1740,Quatre petit prières de St. Francois d'Assise,3,788,1
1751,The Original Jazz Masters Series,1,788,1
1741,Gensyn med Danmark,3,788,1
1742,Rock Sound: Music With Attitude,1,788,1
1743,Tre romantiske korsange for kor a cappella,3,788,1
1744,Americana op. 89,3,788,1
1752,Body Rapture,1,788,1
1788,None Night of Flexipop,1,788,1
1753,Sci-Fi Hi-Fi,1,788,1
1771,From Here to Tranquility,1,788,1
1754,Sci-Fi-Lo-Fi,1,788,1
1763,Sound of Acid Core,1,788,1
1755,Where Blues Meets Rock,1,788,1
1756,Arts & Crafts Sampler,1,788,1
1757,Turntables on the Hudson,1,788,1
1764,The Sound of Leamington Spa,1,788,1
1758,Four Hand Piano Music,1,788,1
1759,Four-Hand Piano Music,1,788,1
2603,Bliss Out,1,788,1
1772,The Most Relaxing Feel,1,788,1
1765,Classics Go to the Movies,1,788,1
1766,La Mezzanine de l'Alcazar,1,788,1
1777,97X Green Room,1,788,1
1767,Island 40,1,788,1
1773,Es lebe der Punk,1,788,1
1768,Lost Deep Soul Treasures,1,788,1
1769,Body & Soul NYC,1,788,1
1774,From the Vaults of Gone,1,788,1
2353,Praktiline mees esitlused,7,788,1
1775,State of the Art,1,788,1
1778,Crystal Ball 30th Anniversary,1,788,1
1792,UA Drum & Bass,1,788,1
1793,Monte Carlo Nights: New Classics,1,788,1
1794,A Very Merry Christmas,1,788,1
2755,World Tour 1992,7,788,2
1795,Friends and Friends of Friends,1,788,1
2767,Draconian Times MMXI Tour,7,788,1
1796,International Pop Underground,2,788,2
1819,Cicadelic 60's,1,788,1
1797,ICON,1,788,1
1798,Back to Indo Rock,1,788,1
1799,Barrelhouse Blues & Boogie Woogie,1,788,1
1820,Jamaica Ska Core: Best of Ska,1,788,1
1825,Moscow Fashion,1,788,1
1813,Billboard Hottest Hits,1,788,1
1815,Fat Music,1,788,1
1816,Totally Wired,1,788,1
1826,The Bossa Nova Exciting Jazz Samba Rhythms,1,788,1
1817,Guitars & Machines,1,788,1
1818,Vintage Music Collectors Series,1,788,1
1857,Get Hot: Sleazy Rhythm 'n Blues,1,788,1
1836,Crowd Around the Mic,1,788,1
1827,Hypnotic World of Goa,1,788,1
1828,Giants of Rock: The Metal Decade,1,788,1
1843,The Sweet Sounds of Superfly,1,788,1
1829,Sixties Archives,1,788,1
